"k","animals","kissa","cat","кошка"
"k","animals","koira","dog","собака"
"l","animals","lintu","bird","птица"
"t","food","tee","tea","чай"
"v","food","viini","wine","вино"
"s","family","sukupuu","family tree","семейное дерево"
"l","family","lapseton","childfree (childless)","чайлдфри (бездетный)"
"l","adjectives","laiska","lazy","ленивый"
"p","adjectives","pitkä","tall","высокий"
"k","basic items","kirja","a book","книга"
"k","basic items","kännykkä","mobile phone","мобильный телефон"
"l","basic items","laturi","charger","зарядное устройство"
"r","basic items","reppu","backpack","рюкзак"
"k","city","kirjasto","library","библиотека"
"m","geography","maa","country land earth ground","страна земля"
"t","body","tukka","hair","волосы"
"t","work","työtön","unemployed","безработный"
"a","transport","ajokortti","driving license","водительские права"
"k","conversation","kysymys","question","вопрос"
"v","conversation","vastaus","answer", "ответ"
"a","verbs","ajaa","to drive","водить"
"k","verbs","kirjoittaa","to write", "писать"
